qseqid,sseqid,length,qcovs,pident,evalue,staxids,stitle
unassigned_1,gi|343206268|ref|NR_044860.1|,24,60,87.500,6.8,43131,Tissierella praeacuta strain NCTC 11158 16S ribosomal RNA, partial sequence
unassigned_1,gi|645320085|ref|NR_117376.1|,148,60,76.351,1.07e-22,43131,Tissierella praeacuta strain ATCC 25539 16S ribosomal RNA, partial sequence
unassigned_1,gi|645320085|ref|NR_117376.1|,24,60,87.500,6.8,43131,Tissierella praeacuta strain ATCC 25539 16S ribosomal RNA, partial sequence
unassigned_1,gi|1193829151|ref|NR_147394.1|,192,74,72.917,1.07e-22,1870994,Urmitella timonensis strain Marseille-P2918 16S ribosomal RNA, partial sequence
unassigned_1,gi|1193829151|ref|NR_147394.1|,19,74,94.737,6.8,1870994,Urmitella timonensis strain Marseille-P2918 16S ribosomal RNA, partial sequence
unassigned_1,gi|939733327|ref|NR_133054.1|,148,60,75.676,1.30e-21,689904,Tissierella carlieri strain LBN 295 16S ribosomal RNA, partial sequence
unassigned_1,gi|939733327|ref|NR_133054.1|,24,60,87.500,6.8,689904,Tissierella carlieri strain LBN 295 16S ribosomal RNA, partial sequence
unassigned_1,gi|636559435|ref|NR_115494.1|,123,43,78.862,1.59e-20,929704,Myroides odoratus DSM 2801 strain JCM 7458 16S ribosomal RNA, partial sequence
unassigned_1,gi|672239088|ref|NR_125677.1|,189,66,71.958,1.59e-20,1348613,Vallitalea pronyensis strain FatNI3 16S ribosomal RNA, partial sequence
unassigned_1,gi|343206109|ref|NR_044698.1|,123,43,78.862,1.59e-20,929704,Myroides odoratus DSM 2801 strain ATCC 4651 16S ribosomal RNA, partial sequence
unassigned_2,gi|1240411878|ref|NR_149209.1|,256,99,67.969,6.90e-12,1677920,Helicobacter jaachi strain MIT 09-6949 16S ribosomal RNA, partial sequence
unassigned_2,gi|636559435|ref|NR_115494.1|,245,95,67.755,8.41e-11,929704,Myroides odoratus DSM 2801 strain JCM 7458 16S ribosomal RNA, partial sequence
unassigned_2,gi|806984271|ref|NG_041960.1|,256,99,67.578,8.41e-11,37372,Helicobacter bilis strain Hb1 16S ribosomal RNA gene, partial sequence
unassigned_2,gi|343206109|ref|NR_044698.1|,245,95,67.755,8.41e-11,929704,Myroides odoratus DSM 2801 strain ATCC 4651 16S ribosomal RNA, partial sequence
unassigned_2,gi|800922526|ref|NR_029182.3|,256,99,67.578,8.41e-11,37372,Helicobacter bilis strain Hb1 16S ribosomal RNA, partial sequence
unassigned_2,gi|343198603|ref|NR_043052.1|,256,99,67.578,8.41e-11,29419,Helicobacter canis strain ATCC 51401 16S ribosomal RNA, partial sequence
unassigned_2,gi|631251778|ref|NR_112976.1|,245,95,67.755,8.41e-11,929704,Myroides odoratus DSM 2801 strain NBRC 14945 16S ribosomal RNA, partial sequence
unassigned_2,gi|343203380|ref|NR_043664.1|,59,47,83.051,1.02e-09,361365,Tindallia texcoconensis strain IMP-300 16S ribosomal RNA, partial sequence
unassigned_2,gi|343203380|ref|NR_043664.1|,62,47,77.419,7.87e-05,361365,Tindallia texcoconensis strain IMP-300 16S ribosomal RNA, partial sequence
unassigned_2,gi|1376031758|ref|NR_114600.3|,256,99,67.188,3.57e-09,398626,Helicobacter macacae strain MIT 99-5501 16S ribosomal RNA, partial sequence
unassigned_2,gi|933790496|ref|NG_042884.1|,256,99,67.188,3.57e-09,398626,Helicobacter macacae strain MIT 99-5501 16S ribosomal RNA gene, partial sequence
unassigned_3,gi|343198433|ref|NR_041814.1|,252,99,69.048,7.30e-18,415,Methylobacter luteus strain NCIMB 11914 16S ribosomal RNA, partial sequence
unassigned_3,gi|265678934|ref|NR_029242.1|,252,99,68.651,3.11e-16,39770,Methylobacter whittenburyi strain 1521 16S ribosomal RNA, partial sequence
unassigned_3,gi|636559645|ref|NR_115705.1|,259,99,68.340,1.32e-14,76517,Campylobacter hominis strain NCTC 13146 16S ribosomal RNA, partial sequence
unassigned_3,gi|219878238|ref|NR_025377.1|,259,99,68.340,1.32e-14,76517,Campylobacter hominis strain CH001A 16S ribosomal RNA, partial sequence
unassigned_3,gi|470466810|ref|NR_074141.1|,259,99,68.340,1.32e-14,76517,Campylobacter hominis strain ATCC BAA-381 16S ribosomal RNA, partial sequence
unassigned_3,gi|343206278|ref|NR_044870.1|,149,73,72.483,1.61e-13,998674,Leucothrix mucor DSM 2157 16S ribosomal RNA, partial sequence
unassigned_3,gi|343206278|ref|NR_044870.1|,38,73,81.579,0.49,998674,Leucothrix mucor DSM 2157 16S ribosomal RNA, partial sequence
unassigned_3,gi|645321036|ref|NR_118099.1|,149,73,72.483,1.61e-13,45248,Leucothrix mucor strain ATCC 25107 16S ribosomal RNA, partial sequence
unassigned_3,gi|645321036|ref|NR_118099.1|,38,73,81.579,0.49,45248,Leucothrix mucor strain ATCC 25107 16S ribosomal RNA, partial sequence
unassigned_3,gi|219857544|ref|NR_025132.1|,252,99,67.460,5.62e-13,34058,Methylobacter marinus strain A45 16S ribosomal RNA, partial sequence
unassigned_3,gi|602269297|ref|NR_044848.2|,252,99,67.460,1.96e-12,39776,Methylomicrobium pelagicum strain ACM 3505 16S ribosomal RNA, partial sequence
unassigned_3,gi|1024974693|ref|NR_136768.1|,145,81,72.414,1.96e-12,1247513,Leucothrix pacifica strain XH122 16S ribosomal RNA, partial sequence
unassigned_3,gi|1024974693|ref|NR_136768.1|,62,81,74.194,0.040,1247513,Leucothrix pacifica strain XH122 16S ribosomal RNA, partial sequence
unassigned_4,gi|343198433|ref|NR_041814.1|,254,99,69.291,2.55e-17,415,Methylobacter luteus strain NCIMB 11914 16S ribosomal RNA, partial sequence
unassigned_4,gi|265678934|ref|NR_029242.1|,254,99,69.291,2.55e-17,39770,Methylobacter whittenburyi strain 1521 16S ribosomal RNA, partial sequence
unassigned_4,gi|602269297|ref|NR_044848.2|,254,99,68.898,3.11e-16,39776,Methylomicrobium pelagicum strain ACM 3505 16S ribosomal RNA, partial sequence
unassigned_4,gi|636559444|ref|NR_115503.1|,249,98,68.273,1.32e-14,33034,Anaerococcus prevotii strain GIFU 7658 16S ribosomal RNA, partial sequence
unassigned_4,gi|1024974693|ref|NR_136768.1|,147,81,74.150,1.32e-14,1247513,Leucothrix pacifica strain XH122 16S ribosomal RNA, partial sequence
unassigned_4,gi|1024974693|ref|NR_136768.1|,62,81,74.194,0.040,1247513,Leucothrix pacifica strain XH122 16S ribosomal RNA, partial sequence
unassigned_4,gi|343202956|ref|NR_043450.1|,254,99,68.504,1.32e-14,81932,Methylomicrobium japanense strain NI 16S ribosomal RNA, partial sequence
unassigned_4,gi|959494919|ref|NR_133783.1|,254,99,68.504,1.32e-14,980561,Methylomonas lenta strain R-45377 16S ribosomal RNA, partial sequence
unassigned_4,gi|566085154|ref|NR_108887.1|,254,99,68.504,1.32e-14,1173101,Methylomonas paludis strain MG30 16S ribosomal RNA, partial sequence
unassigned_4,gi|444304224|ref|NR_074649.1|,254,99,68.504,1.32e-14,1091494,Methylomicrobium alcaliphilum 20Z 16S ribosomal RNA, partial sequence
unassigned_4,gi|219846518|ref|NR_026110.1|,254,99,68.504,1.32e-14,39772,Methylomonas fodinarum strain JB13 16S ribosomal RNA, partial sequence
unassigned_5,gi|636559446|ref|NR_115505.1|,250,98,68.400,3.75e-15,33031,Peptoniphilus lacrimalis strain GIFU 7667 16S ribosomal RNA, partial sequence
unassigned_5,gi|636559450|ref|NR_115509.1|,249,98,67.871,4.57e-14,33030,Peptoniphilus indolicus strain GIFU 7848 16S ribosomal RNA, partial sequence
unassigned_5,gi|1199303397|ref|NR_147748.1|,75,30,82.667,4.57e-14,1560005,Edaphobacter dinghuensis strain DHF9 16S ribosomal RNA, partial sequence
unassigned_5,gi|444303872|ref|NR_074294.1|,75,30,82.667,4.57e-14,401053,Terriglobus saanensis SP1PR4 16S ribosomal RNA, partial sequence
unassigned_5,gi|645320687|ref|NR_117834.1|,75,30,82.667,4.57e-14,401053,Terriglobus saanensis SP1PR4 16S ribosomal RNA, partial sequence
unassigned_5,gi|343201182|ref|NR_041938.1|,250,98,68.000,1.59e-13,33031,Peptoniphilus lacrimalis strain CCUG 31350 16S ribosomal RNA, partial sequence
unassigned_5,gi|645320930|ref|NR_118021.1|,75,30,81.333,5.57e-13,1198114,Granulicella tundricola MP5ACTX9 16S ribosomal RNA, partial sequence
unassigned_5,gi|1341394047|ref|NR_153719.1|,90,36,77.778,5.57e-13,1382359,Acidobacterium ailaaui strain PMMR2 16S ribosomal RNA, partial sequence
unassigned_5,gi|444303873|ref|NR_074295.1|,75,30,81.333,5.57e-13,1198114,Granulicella tundricola MP5ACTX9 16S ribosomal RNA, partial sequence
unassigned_5,gi|1011034847|ref|NR_135733.1|,90,36,77.778,5.57e-13,940139,Terriglobus aquaticus strain 03SUJ4 16S ribosomal RNA, partial sequence
unassigned_6,gi|636559446|ref|NR_115505.1|,250,98,68.400,3.75e-15,33031,Peptoniphilus lacrimalis strain GIFU 7667 16S ribosomal RNA, partial sequence
unassigned_6,gi|444303872|ref|NR_074294.1|,254,99,68.110,3.75e-15,401053,Terriglobus saanensis SP1PR4 16S ribosomal RNA, partial sequence
unassigned_6,gi|645320687|ref|NR_117834.1|,254,99,68.110,3.75e-15,401053,Terriglobus saanensis SP1PR4 16S ribosomal RNA, partial sequence
unassigned_6,gi|1199303397|ref|NR_147748.1|,75,60,82.667,4.57e-14,1560005,Edaphobacter dinghuensis strain DHF9 16S ribosomal RNA, partial sequence
unassigned_6,gi|1199303397|ref|NR_147748.1|,76,60,72.368,0.011,1560005,Edaphobacter dinghuensis strain DHF9 16S ribosomal RNA, partial sequence
unassigned_6,gi|602267030|ref|NR_044662.2|,250,98,68.000,4.57e-14,2150,Acholeplasma modicum strain PG 49 16S ribosomal RNA, partial sequence
unassigned_6,gi|507148150|ref|NR_102957.1|,250,97,67.600,1.59e-13,314723,Borrelia hermsii DAH 16S ribosomal RNA, partial sequence
unassigned_6,gi|343201182|ref|NR_041938.1|,250,98,68.000,1.59e-13,33031,Peptoniphilus lacrimalis strain CCUG 31350 16S ribosomal RNA, partial sequence
unassigned_6,gi|219846271|ref|NR_025861.1|,250,97,67.600,1.59e-13,47466,Borrelia miyamotoi strain HT31 16S ribosomal RNA, partial sequence
unassigned_6,gi|645320930|ref|NR_118021.1|,75,60,81.333,5.57e-13,1198114,Granulicella tundricola MP5ACTX9 16S ribosomal RNA, partial sequence
unassigned_6,gi|645320930|ref|NR_118021.1|,76,60,71.053,0.14,1198114,Granulicella tundricola MP5ACTX9 16S ribosomal RNA, partial sequence
unassigned_6,gi|1341394047|ref|NR_153719.1|,90,62,77.778,5.57e-13,1382359,Acidobacterium ailaaui strain PMMR2 16S ribosomal RNA, partial sequence
unassigned_6,gi|1341394047|ref|NR_153719.1|,66,62,75.758,2.70e-04,1382359,Acidobacterium ailaaui strain PMMR2 16S ribosomal RNA, partial sequence
unassigned_7,gi|343198433|ref|NR_041814.1|,229,99,71.616,6.98e-24,415,Methylobacter luteus strain NCIMB 11914 16S ribosomal RNA, partial sequence
unassigned_7,gi|602269297|ref|NR_044848.2|,229,99,71.179,8.51e-23,39776,Methylomicrobium pelagicum strain ACM 3505 16S ribosomal RNA, partial sequence
unassigned_7,gi|343201039|ref|NR_041726.1|,229,99,71.179,8.51e-23,1022,Beggiatoa alba strain B18LD 16S ribosomal RNA, partial sequence
unassigned_7,gi|265678934|ref|NR_029242.1|,229,99,71.179,8.51e-23,39770,Methylobacter whittenburyi strain 1521 16S ribosomal RNA, partial sequence
unassigned_7,gi|219857544|ref|NR_025132.1|,229,99,70.742,2.97e-22,34058,Methylobacter marinus strain A45 16S ribosomal RNA, partial sequence
unassigned_7,gi|1384992336|ref|NR_156085.1|,229,99,70.742,3.62e-21,288004,Beggiatoa leptomitoformis strain D-402 16S ribosomal RNA, partial sequence
unassigned_7,gi|343202680|ref|NR_043091.1|,229,99,70.306,4.41e-20,286420,Hahella ganghwensis strain FR1050 16S ribosomal RNA, partial sequence
unassigned_7,gi|343202956|ref|NR_043450.1|,230,99,70.870,1.54e-19,81932,Methylomicrobium japanense strain NI 16S ribosomal RNA, partial sequence
unassigned_7,gi|444304224|ref|NR_074649.1|,230,99,70.870,1.54e-19,1091494,Methylomicrobium alcaliphilum 20Z 16S ribosomal RNA, partial sequence
unassigned_7,gi|343198985|ref|NR_044253.1|,230,99,70.870,1.54e-19,1091494,Methylomicrobium alcaliphilum 20Z 16S ribosomal RNA, partial sequence
unassigned_10,gi|559795314|ref|NR_104907.1|,17,5,100.000,2.4,290054,Eubacterium coprostanoligenes strain HL 16S ribosomal RNA, partial sequence
unassigned_12,gi|559795314|ref|NR_104907.1|,17,3,100.000,3.5,290054,Eubacterium coprostanoligenes strain HL 16S ribosomal RNA, partial sequence
unassigned_13,gi|559795314|ref|NR_104907.1|,17,5,100.000,2.3,290054,Eubacterium coprostanoligenes strain HL 16S ribosomal RNA, partial sequence
unassigned_14,gi|559795314|ref|NR_104907.1|,17,5,100.000,2.4,290054,Eubacterium coprostanoligenes strain HL 16S ribosomal RNA, partial sequence
unassigned_15,gi|219846895|ref|NR_026487.1|,22,10,95.455,0.13,82347,Facklamia languida strain 1144-97 16S ribosomal RNA, partial sequence
unassigned_15,gi|943392600|ref|NR_117136.2|,16,7,100.000,5.4,1543,Clostridium oceanicum strain DSM 1290 16S ribosomal RNA, partial sequence
unassigned_15,gi|943392599|ref|NR_117135.2|,16,7,100.000,5.4,1543,Clostridium oceanicum strain DSM 1290 16S ribosomal RNA, partial sequence
unassigned_15,gi|943392598|ref|NR_117134.2|,16,7,100.000,5.4,1543,Clostridium oceanicum strain DSM 1290 16S ribosomal RNA, partial sequence
unassigned_15,gi|943392597|ref|NR_117133.2|,16,7,100.000,5.4,1543,Clostridium oceanicum strain DSM 1290 16S ribosomal RNA, partial sequence
unassigned_15,gi|943392596|ref|NR_117132.2|,16,7,100.000,5.4,1543,Clostridium oceanicum strain DSM 1290 16S ribosomal RNA, partial sequence
unassigned_15,gi|310975226|ref|NR_037090.1|,16,7,100.000,5.4,132926,Clostridium psychrophilum strain A-1/C-an/I 16S ribosomal RNA, partial sequence
unassigned_15,gi|219878261|ref|NR_025400.1|,16,7,100.000,5.4,120956,Facklamia miroungae strain A/G13/99/2 16S ribosomal RNA, partial sequence
unassigned_19,gi|343200883|ref|NR_041570.1|,124,54,72.581,3.88e-08,424488,Cerasicoccus arenae strain YM26-026 16S ribosomal RNA, partial sequence
unassigned_19,gi|343198864|ref|NR_043906.1|,125,54,71.200,5.76e-06,388746,Puniceicoccus vermicola strain IMCC1545 16S ribosomal RNA, partial sequence
unassigned_19,gi|1491514500|ref|NR_159162.1|,61,26,78.689,2.01e-05,1940240,Wohlfahrtiimonas populi strain 34c10-3-10 16S ribosomal RNA, partial sequence
unassigned_19,gi|959495047|ref|NR_133893.1|,61,26,78.689,2.01e-05,1157986,Wohlfahrtiimonas larvae strain KBL006 16S ribosomal RNA, partial sequence
unassigned_19,gi|343202268|ref|NR_042554.1|,61,26,78.689,2.01e-05,1123502,Wohlfahrtiimonas chitiniclastica DSM 18708 strain S5 16S ribosomal RNA, partial sequence
unassigned_19,gi|1864207179|ref|NR_169474.1|,64,28,76.562,2.45e-04,2528713,Deinococcus fonticola strain FeSDHB5-19 16S ribosomal RNA, partial sequence
unassigned_19,gi|1315203965|ref|NR_152634.1|,64,28,76.562,2.45e-04,1706855,Deinococcus malanensis strain T93 16S ribosomal RNA, partial sequence
unassigned_19,gi|343198674|ref|NR_043243.1|,64,28,76.562,2.45e-04,546414,Deinococcus deserti VCD115 16S ribosomal RNA, partial sequence
unassigned_19,gi|1441204333|ref|NR_157748.1|,59,26,77.966,2.45e-04,1936993,Dictyobacter aurantiacus strain S-27 16S ribosomal RNA, partial sequence
unassigned_19,gi|343202729|ref|NR_043156.1|,64,28,76.562,2.45e-04,309884,Deinococcus navajonensis strain KR-114 16S ribosomal RNA, partial sequence
unassigned_21,gi|343201461|ref|NR_042187.1|,25,5,88.000,3.4,237258,Cloacibacterium normanense strain NRS1 16S ribosomal RNA, partial sequence
unassigned_21,gi|1397641853|ref|NR_156963.1|,25,5,88.000,3.4,2004710,Cloacibacterium caeni strain B6 16S ribosomal RNA, partial sequence
unassigned_21,gi|672239066|ref|NR_125655.1|,25,5,88.000,3.4,1280844,Cloacibacterium haliotis strain WB5 16S ribosomal RNA, partial sequence
unassigned_21,gi|631253076|ref|NR_114274.1|,25,5,88.000,3.4,517423,Cloacibacterium rupense strain NBRC 104931 16S ribosomal RNA, partial sequence
unassigned_21,gi|636560310|ref|NR_116370.1|,25,5,88.000,3.4,517423,Cloacibacterium rupense strain R2A-16 16S ribosomal RNA, partial sequence
unassigned_22,gi|1520188710|ref|NR_159917.1|,229,99,69.432,2.28e-17,2081977,Litorimonas haliclonae strain MAA42 16S ribosomal RNA, partial sequence.
unassigned_22,gi|699005319|ref|NR_126188.1|,228,99,67.982,1.18e-14,1431962,Sulfurovum aggregans strain Monchim33 16S ribosomal RNA, partial sequence
unassigned_22,gi|1246951783|ref|NR_149787.1|,228,99,67.982,1.18e-14,1630136,Sulfurovum riftiae strain 1812E 16S ribosomal RNA, partial sequence
unassigned_22,gi|636560529|ref|NR_116589.1|,229,99,68.559,1.18e-14,568099,Litorimonas taeanensis strain G5 16S ribosomal RNA, partial sequence.
unassigned_22,gi|636560609|ref|NR_116669.1|,228,99,67.544,1.44e-13,645887,Alkalibaculum bacchi strain CP11 16S ribosomal RNA, partial sequence
unassigned_22,gi|961555161|ref|NR_134130.1|,228,99,67.544,1.75e-12,1436965,Peptoniphilus stercorisuis strain DSM 27563 16S ribosomal RNA, partial sequence
unassigned_22,gi|645320093|ref|NR_117382.1|,228,99,67.544,1.75e-12,253256,Soehngenia saccharolytica strain DSM 12858 16S ribosomal RNA, partial sequence
unassigned_22,gi|219846171|ref|NR_025761.1|,228,99,67.544,1.75e-12,253256,Soehngenia saccharolytica strain BOR-Y 16S ribosomal RNA, partial sequence
unassigned_22,gi|265678929|ref|NR_029237.1|,148,75,70.946,6.12e-12,40091,Helcococcus kunzii strain 22 16S ribosomal RNA, partial sequence
unassigned_22,gi|265678929|ref|NR_029237.1|,26,75,84.615,5.4,40091,Helcococcus kunzii strain 22 16S ribosomal RNA, partial sequence
unassigned_22,gi|343206046|ref|NR_044625.1|,228,99,67.105,6.12e-12,28200,Arcobacter skirrowii 16S ribosomal RNA, partial sequence
unassigned_23,gi|343200131|ref|NR_040818.1|,225,97,76.000,5.39e-38,33965,Leuconostoc mesenteroides subsp. cremoris strain NCFB 543 16S ribosomal RNA, partial sequence
unassigned_23,gi|343200130|ref|NR_040817.1|,225,97,76.000,5.39e-38,33966,Leuconostoc mesenteroides subsp. dextranicum strain NCFB 529 16S ribosomal RNA, partial sequence
unassigned_23,gi|631252714|ref|NR_113912.1|,225,97,76.000,5.39e-38,1245,Leuconostoc mesenteroides strain NBRC 100496 16S ribosomal RNA, partial sequence
unassigned_23,gi|631252713|ref|NR_113911.1|,225,97,76.000,5.39e-38,33966,Leuconostoc mesenteroides subsp. dextranicum strain NBRC 100495 16S ribosomal RNA, partial sequence
unassigned_23,gi|1441204190|ref|NR_157602.1|,225,97,76.000,5.39e-38,2026657,Leuconostoc mesenteroides subsp. jonggajibkimchii strain DRC1506 16S ribosomal RNA, complete sequence
unassigned_23,gi|444439642|ref|NR_074957.1|,225,97,76.000,5.39e-38,1245,Leuconostoc mesenteroides strain ATCC 8293 16S ribosomal RNA, partial sequence
unassigned_23,gi|661903049|ref|NR_109003.1|,225,97,76.000,5.39e-38,1511761,Leuconostoc suionicum strain LMG 8159 16S ribosomal RNA, partial sequence
unassigned_23,gi|631252056|ref|NR_113254.1|,225,97,76.000,5.39e-38,33966,Leuconostoc mesenteroides subsp. dextranicum strain JCM 9700 16S ribosomal RNA, partial sequence
unassigned_23,gi|631252053|ref|NR_113251.1|,225,97,76.000,5.39e-38,1245,Leuconostoc mesenteroides strain JCM 6124 16S ribosomal RNA, partial sequence
unassigned_23,gi|672238868|ref|NR_125456.1|,229,99,75.983,1.88e-37,1125967,Brevibacillus fulvus strain K2814 16S ribosomal RNA, partial sequence
unassigned_25,gi|343206172|ref|NR_044762.1|,230,89,70.435,1.41e-20,948,Anaplasma phagocytophilum strain Webster 16S ribosomal RNA, partial sequence
unassigned_25,gi|219857230|ref|NR_024858.1|,259,100,69.498,1.41e-20,66835,Desulfocella halophila strain GSL-But2 16S ribosomal RNA, partial sequence
unassigned_25,gi|265678477|ref|NR_028780.1|,246,96,70.325,1.41e-20,153026,Desulforegula conservatrix strain Mb1Pa 16S ribosomal RNA, partial sequence
unassigned_25,gi|343205725|ref|NR_044128.1|,253,96,69.960,4.92e-20,418647,Rhodanobacter terrae strain GP18-1 16S ribosomal RNA, partial sequence
unassigned_25,gi|645321551|ref|NR_118489.1|,233,89,70.386,4.92e-20,331269,Anaplasma odocoilei strain UMUM76 16S ribosomal RNA, partial sequence
unassigned_25,gi|1137647850|ref|NR_145639.1|,229,89,70.306,1.72e-19,1444977,Marinibactrum halimedae strain Q-192 16S ribosomal RNA, partial sequence
unassigned_25,gi|343198586|ref|NR_042959.1|,238,93,69.748,1.72e-19,264637,Acholeplasma morum strain 72-043 16S ribosomal RNA, partial sequence
unassigned_25,gi|219846928|ref|NR_026520.1|,246,96,69.512,1.72e-19,29422,Legionella brunensis strain 441-1 16S ribosomal RNA, partial sequence
unassigned_25,gi|636558393|ref|NR_114449.1|,244,95,69.672,6.00e-19,37816,Rickettsia honei strain RB 16S ribosomal RNA, partial sequence
unassigned_25,gi|631253033|ref|NR_114231.1|,252,96,69.048,6.00e-19,1163408,Rhodanobacter fulvus Jip2 16S ribosomal RNA, partial sequence
unassigned_26,gi|219857230|ref|NR_024858.1|,259,100,69.884,3.32e-22,66835,Desulfocella halophila strain GSL-But2 16S ribosomal RNA, partial sequence
unassigned_26,gi|219846928|ref|NR_026520.1|,246,96,69.919,1.41e-20,29422,Legionella brunensis strain 441-1 16S ribosomal RNA, partial sequence
unassigned_26,gi|1240411956|ref|NR_149303.1|,253,98,69.565,1.41e-20,1171543,Marinicella pacifica strain sw153 16S ribosomal RNA, partial sequence
unassigned_26,gi|559795302|ref|NR_104894.1|,247,96,69.636,1.41e-20,449,Legionella hackeliae strain Lancing 2 16S ribosomal RNA, partial sequence
unassigned_26,gi|631251715|ref|NR_112913.1|,253,98,69.565,1.41e-20,644220,Marinicella litoralis strain KMM 3900 16S ribosomal RNA, partial sequence
unassigned_26,gi|343205725|ref|NR_044128.1|,253,96,69.960,4.92e-20,418647,Rhodanobacter terrae strain GP18-1 16S ribosomal RNA, partial sequence
unassigned_26,gi|1137647850|ref|NR_145639.1|,229,89,70.306,1.72e-19,1444977,Marinibactrum halimedae strain Q-192 16S ribosomal RNA, partial sequence
unassigned_26,gi|343198586|ref|NR_042959.1|,238,93,69.748,1.72e-19,264637,Acholeplasma morum strain 72-043 16S ribosomal RNA, partial sequence
unassigned_26,gi|343206172|ref|NR_044762.1|,230,89,70.000,1.72e-19,948,Anaplasma phagocytophilum strain Webster 16S ribosomal RNA, partial sequence
unassigned_26,gi|265678477|ref|NR_028780.1|,246,96,69.919,1.72e-19,153026,Desulforegula conservatrix strain Mb1Pa 16S ribosomal RNA, partial sequence
unassigned_27,gi|645322278|ref|NR_119066.1|,54,22,77.778,2.69e-04,1490,Paraclostridium bifermentans strain ATCC 638 16S ribosomal RNA, partial sequence
unassigned_27,gi|631250974|ref|NR_112171.1|,54,22,77.778,2.69e-04,1490,Paraclostridium bifermentans strain ATCC 638 16S ribosomal RNA, partial sequence
unassigned_27,gi|1230874654|ref|NR_148815.1|,54,22,77.778,2.69e-04,1629550,Paraclostridium benzoelyticum strain JC272 16S ribosomal RNA, partial sequence
unassigned_27,gi|1040567059|ref|NR_137408.1|,54,22,77.778,2.69e-04,1460447,Terrisporobacter petrolearius strain LAM0A37 16S ribosomal RNA, partial sequence
unassigned_27,gi|219846900|ref|NR_026492.1|,34,14,88.235,2.69e-04,1495,Clostridium cylindrosporum strain HC-1 16S ribosomal RNA, partial sequence
unassigned_27,gi|631252125|ref|NR_113323.1|,54,22,77.778,2.69e-04,1490,Paraclostridium bifermentans strain JCM 1386 16S ribosomal RNA, partial sequence
unassigned_27,gi|645322217|ref|NR_119019.1|,30,12,90.000,0.003,29423,Legionella oakridgensis strain ATCC 33761 16S ribosomal RNA, partial sequence
unassigned_27,gi|645321915|ref|NR_118779.1|,62,24,75.806,0.003,35517,[Eubacterium] brachy strain ATCC 33089 16S ribosomal RNA, partial sequence
unassigned_27,gi|659364762|ref|NR_121730.1|,30,12,90.000,0.003,29423,Legionella oakridgensis strain OR-10 16S ribosomal RNA, partial sequence
unassigned_27,gi|310975129|ref|NR_036993.1|,62,24,75.806,0.003,35517,[Eubacterium] brachy strain BR-179 16S ribosomal RNA, partial sequence
unassigned_28,gi|219846270|ref|NR_025860.1|,249,98,75.502,3.30e-41,784,Orientia tsutsugamushi strain Karp 16S ribosomal RNA, partial sequence
